zipcode,room_type,accommodates,bedrooms,bathrooms,beds,minimum_nights,number_of_reviews,price,price_bin
94121,Entire home/apt,4,3.0,2.0,3.0,30,7,185.0,bin 150-200
94110,Entire home/apt,3,1.0,1.0,1.0,30,10,108.0,bin 100-150
94108,Shared room,1,1.0,2.5,2.0,30,15,30.0,bin 0-50
94111,Shared room,1,1.0,1.0,8.0,1,403,45.0,bin 0-50
94110,Private room,2,1.0,1.0,1.0,3,151,109.0,bin 100-150
94118,Entire home/apt,2,1.0,1.0,2.0,30,2,80.0,bin 50-100
94117,Entire home/apt,8,0.0,1.0,3.0,30,98,90.0,bin 50-100
94111,Shared room,2,1.0,1.0,8.0,1,408,45.0,bin 0-50
94117,Entire home/apt,6,1.0,1.0,3.0,30,52,80.0,bin 50-100
94117,Entire home/apt,4,0.0,1.0,2.0,30,19,100.0,bin 50-100
94112,Private room,2,1.0,1.0,1.0,30,35,35.0,bin 0-50
94112,Private room,2,1.0,1.0,1.0,30,9,40.0,bin 0-50
94112,Private room,2,1.0,1.0,1.0,30,35,45.0,bin 0-50
94131,Entire home/apt,2,1.0,1.0,1.0,3,387,135.0,bin 100-150
94112,Private room,3,1.0,1.0,1.0,30,24,45.0,bin 0-50
94110,Private room,1,1.0,2.0,1.0,30,92,75.0,bin 50-100
94117,Entire home/apt,2,1.0,1.0,1.0,30,24,155.0,bin 150-200
94115,Entire home/apt,4,1.0,1.0,2.0,30,19,83.0,bin 50-100
94112,Private room,3,1.0,1.0,1.0,30,20,37.0,bin 0-50
94102,Entire home/apt,1,1.0,1.0,1.0,30,14,250.0,bin 200-250
94115,Private room,1,1.0,1.0,1.0,1,100,90.0,bin 50-100
94121,Entire home/apt,2,0.0,1.0,1.0,30,8,85.0,bin 50-100
94114,Entire home/apt,2,1.0,1.0,1.0,5,275,85.0,bin 50-100
94131,Private room,2,1.0,1.0,0.0,2,362,115.0,bin 100-150
94117,Entire home/apt,6,2.0,1.5,3.0,30,95,201.0,bin 200-250
94109,Private room,1,1.0,0.0,1.0,30,134,59.0,bin 50-100
94103,Entire home/apt,4,2.0,1.0,3.0,4,410,185.0,bin 150-200
94108,Shared room,1,1.0,2.5,1.0,30,6,30.0,bin 0-50
94122,Private room,1,1.0,1.0,1.0,45,4,85.0,bin 50-100
94127,Entire home/apt,4,2.0,1.0,2.0,2,374,125.0,bin 100-150
94124,Entire home/apt,4,2.0,1.0,2.0,30,9,120.0,bin 100-150
94114,Private room,1,1.0,1.0,1.0,1,592,125.0,bin 100-150
94133,Entire home/apt,4,1.0,1.0,2.0,30,11,125.0,bin 100-150
94117,Entire home/apt,2,1.0,1.0,1.0,30,36,200.0,bin 150-200
94117,Entire home/apt,5,3.0,1.0,3.0,30,82,165.0,bin 150-200
94114,Entire home/apt,3,1.0,1.0,1.0,3,153,328.0,bin 300-350
